acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.004765,9.863095,-0.036531,0.042861,-0.055602,0.041769
-0.049158,9.803098,-0.201733,0.080890,0.010543,-0.008811
0.057244,9.773961,0.062317,0.063181,-0.143076,0.015113
0.115288,9.521706,-0.150529,0.059080,-0.002531,0.035327
0.032856,9.737204,0.135529,0.082592,-0.057010,-0.007070
-0.055455,9.799795,0.255802,0.111291,0.005747,0.008096
0.058078,9.670787,-0.080261,0.181465,-0.054302,0.008785
0.092308,9.830709,0.278786,0.215576,-0.086731,0.008982
-0.105557,9.746971,0.333479,0.143393,-0.018536,-0.045240
0.187058,9.542996,0.231818,0.185767,0.092063,-0.063222
0.089673,9.637033,0.153690,0.157347,-0.065097,0.086371
0.049754,9.681598,0.327102,0.214293,-0.001282,-0.020139
0.026350,9.563128,0.522717,0.211772,-0.011758,0.122912
-0.108083,9.505709,0.375419,0.350179,-0.042647,0.032379
0.105474,9.378517,0.245642,0.260582,-0.088818,0.050976
-0.244527,9.544140,0.297458,0.381746,0.052303,-0.023493
-0.046146,9.601597,0.383447,0.336985,0.037488,0.019575
0.027754,9.468325,0.569862,0.347225,-0.080954,0.005694
0.057015,9.403228,0.497747,0.442440,-0.059879,0.031938
0.125249,9.515479,0.379127,0.426649,0.037507,0.043599
0.078674,9.320134,0.745041,0.396931,-0.080848,-0.026676
0.122892,9.467089,0.623185,0.497694,-0.027100,-0.034702
-0.025084,9.495740,0.588600,0.383753,0.087632,0.041286
0.028268,9.500964,0.594454,0.534898,0.048386,0.028835
-0.073943,9.235022,0.562911,0.505769,-0.008188,-0.021378
-0.219407,9.447940,0.936494,0.671305,0.027796,-0.023190
0.171039,9.147244,0.835184,0.584426,-0.050543,0.075225
0.170653,9.269571,0.789152,0.549680,0.025054,0.053299
-0.240947,9.338411,0.678128,0.623555,0.004723,0.000540
0.023956,9.101073,0.899675,0.623077,-0.028835,-0.022474
0.122942,9.176451,0.726879,0.721462,-0.005427,-0.039290
-0.258723,9.220476,0.822295,0.643250,0.055019,0.033780
-0.186122,9.288823,0.866867,0.718664,-0.012876,0.028668
-0.129088,9.149927,1.078197,0.680052,-0.012981,0.048490
0.072352,9.182886,1.052710,0.777527,-0.049095,-0.042776
-0.139309,9.184388,1.024873,0.760831,0.086307,-0.095778
-0.056380,9.214773,0.942319,0.790895,-0.068802,-0.031717
0.061178,9.210756,0.714689,0.780340,-0.021025,-0.026690
0.142837,8.760831,1.019599,0.820504,-0.026763,-0.073123
0.123042,9.070487,0.946360,0.880720,0.037644,0.042159
-0.131248,9.213805,0.920499,0.786273,0.014946,0.033799
0.135479,9.065978,1.036769,0.833332,0.000459,-0.005813
-0.069974,8.932538,1.312580,0.998582,0.096225,-0.083218
0.087891,8.830319,1.188979,1.052754,-0.045761,0.049034
-0.103582,9.173855,1.104175,0.998165,-0.049785,0.024663
0.192507,8.996653,1.155532,0.965846,0.027717,0.011534
-0.081273,8.886468,1.170787,1.052623,0.003770,-0.008394
0.011379,8.817327,1.090874,1.069192,0.029020,0.036591
-0.045561,8.730349,1.291036,1.002742,-0.052263,-0.028386
-0.109092,8.824160,1.650187,1.026513,0.039310,0.048799
0.006769,8.940165,1.225681,1.071380,0.071546,0.068423
-0.078476,8.918571,1.344682,1.112889,-0.041095,0.078769
