acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.036566,-0.124798,9.900055,0.015588,0.004102,-0.005898
0.134450,-0.234124,9.642947,0.063531,-0.053665,0.082412
0.058506,-0.037949,9.786402,-0.009017,-0.108635,0.002797
-0.037617,0.105528,9.870961,-0.043050,-0.116401,0.015881
0.094255,0.135269,9.822936,0.022223,-0.139995,0.039496
0.004799,0.044250,9.640978,0.046300,-0.086433,0.021177
0.234910,-0.005991,9.723069,0.054537,-0.247894,-0.012716
0.069368,0.146705,9.715918,-0.034680,-0.196670,-0.022858
0.121263,-0.042256,9.787546,-0.006646,-0.154929,-0.006789
0.238098,0.049528,9.764577,0.016552,-0.268284,0.003029
0.472825,-0.048770,9.640617,0.000241,-0.269837,0.046612
0.139757,0.073918,9.826773,0.065896,-0.304162,0.023582
0.245319,-0.100819,9.581566,-0.046035,-0.348839,0.037612
0.358647,0.089190,9.734892,0.034639,-0.365636,0.035456
0.222297,0.027859,9.672923,0.019631,-0.354865,0.011574
0.349984,0.104571,9.674961,-0.014228,-0.418221,-0.117224
0.426793,0.008109,9.672033,0.015315,-0.606368,-0.068939
0.442661,-0.174859,9.588186,0.018071,-0.470107,-0.046497
0.332044,-0.076665,9.582739,-0.028484,-0.463164,-0.019361
0.589465,-0.103900,9.721158,0.089717,-0.546839,0.016321
0.229710,-0.040186,9.613704,0.064675,-0.570298,-0.040094
0.523584,0.085347,9.678583,-0.004389,-0.605741,-0.054590
0.432973,-0.055482,9.675547,-0.010233,-0.662781,0.036974
0.473446,-0.153082,9.425804,0.001384,-0.673182,-0.004247
0.407651,0.059659,9.568098,0.008925,-0.665975,-0.039988
0.622427,-0.051270,9.559241,-0.041664,-0.675237,-0.016493
0.636222,-0.037122,9.584238,-0.056674,-0.730449,0.018535
0.503303,-0.043566,9.472825,-0.061229,-0.767799,0.029423
0.460816,0.058437,9.451514,0.014975,-0.780476,-0.056171
0.627399,0.057690,9.550635,0.013242,-0.846637,-0.019312
0.727328,-0.011818,9.435464,0.034822,-0.804138,0.071775
0.659499,-0.202480,9.301814,0.052592,-0.896476,0.014109
0.531924,-0.119670,9.512650,0.030673,-0.916016,0.005231
0.603573,-0.045380,9.609793,0.032950,-0.952012,-0.029171
0.691061,0.088502,9.331060,-0.016579,-0.953061,0.000120
0.730743,-0.114003,9.391619,0.013608,-0.980391,-0.014994
0.877815,-0.207278,9.473642,0.030250,-1.020818,-0.049393
0.827089,-0.071298,9.237193,0.057692,-1.084778,-0.066204
0.828799,-0.063539,9.427849,-0.041802,-1.134367,0.002087
0.844349,0.192213,9.360415,-0.010954,-1.135775,0.024788
0.740490,0.021513,9.404745,0.013595,-1.138437,0.016393
1.047995,0.100213,9.410379,0.024645,-1.264174,-0.014578
1.082071,-0.142652,9.279993,-0.087208,-1.207191,-0.000185
0.816868,-0.046777,9.180770,0.041821,-1.189905,0.008111
1.025858,-0.026667,9.158684,-0.020014,-1.246781,-0.021117
0.849353,0.037622,9.424964,-0.000056,-1.255519,-0.022311
1.232414,0.349663,9.363327,0.032227,-1.296645,-0.038192
0.895644,-0.255846,9.334931,0.038956,-1.324575,0.004077
0.938418,-0.049843,9.218563,-0.030493,-1.415663,-0.021507
1.040659,0.127918,9.300069,0.021704,-1.448297,0.017500
1.060101,-0.124278,9.069470,-0.049670,-1.447012,0.004386
1.042362,-0.006454,9.471792,0.097805,-1.522718,0.058881
1.137935,0.117929,9.188933,0.005994,-1.479956,0.004734
1.001692,-0.115814,9.151031,0.017789,-1.531327,0.058162
1.420884,-0.098566,9.327885,-0.018259,-1.508667,-0.025775
1.078699,0.111789,9.262670,-0.002410,-1.625612,0.018201
1.189837,-0.004892,9.127110,0.057805,-1.614605,-0.007875
1.283744,-0.054598,9.047820,-0.044585,-1.649459,-0.063712
1.098446,0.020711,9.373592,-0.036515,-1.659993,0.052761
1.292580,-0.014237,9.207608,0.112368,-1.721305,0.057412
1.451684,0.026326,9.113207,0.009750,-1.732669,0.017304
1.449301,0.051451,9.336018,0.002477,-1.750980,-0.016333
1.360118,-0.146936,8.976757,-0.055924,-1.845918,0.026130
1.557824,0.206840,9.108602,-0.011068,-1.836793,0.000340
1.335312,0.175373,8.986507,0.031797,-1.834512,-0.026242
1.295510,0.077199,9.061209,0.049052,-1.807336,0.019782
1.423846,-0.019613,9.138279,0.038947,-1.849602,0.045204
1.614941,0.010870,9.164251,0.024564,-1.904124,0.020786
1.221605,-0.005846,8.974999,-0.043894,-1.928806,-0.054233
1.342951,-0.105378,9.025302,-0.031784,-1.933469,0.033609
1.620700,-0.159167,9.058280,0.059496,-2.025255,-0.046090
1.474274,-0.039321,9.164145,-0.009617,-2.039084,0.003160
1.618531,0.160488,9.014482,0.045347,-2.086393,0.014081
1.492026,-0.026863,9.051331,-0.039545,-2.082707,0.000124
1.618311,-0.130127,9.022298,-0.029993,-2.138930,-0.007367
1.646092,0.302097,9.225869,-0.010806,-2.087420,-0.003938
1.537899,-0.034486,8.814243,-0.009756,-2.270948,-0.035768
1.590986,0.037873,9.123768,-0.010523,-2.243261,0.055268
1.595963,-0.078498,8.710600,-0.006598,-2.193067,0.002468
1.685516,-0.127490,8.893950,0.001489,-2.276933,0.000152
1.621395,-0.011312,8.735765,0.068752,-2.394943,-0.080062
1.572156,0.255510,8.781409,-0.021727,-2.330354,0.027604
1.638170,0.220430,9.273716,0.018923,-2.375082,0.040762
1.650779,-0.044190,8.955304,0.041208,-2.381127,0.038506
2.020393,-0.118423,8.874092,0.010906,-2.439725,0.027913
1.927813,0.052172,8.847596,0.004425,-2.445990,0.058918
1.840056,-0.164987,8.853362,-0.098035,-2.531528,-0.047483
1.845731,0.027860,8.804513,-0.014530,-2.513781,-0.060293
1.955865,0.121526,8.879012,-0.039406,-2.566808,0.098297
1.963074,0.006379,8.849579,0.072070,-2.577621,-0.014543
1.855859,0.037979,8.827104,-0.045968,-2.666253,-0.004675
2.215209,0.188803,8.874288,-0.039914,-2.622099,-0.064008
1.894045,-0.133489,8.960132,-0.030479,-2.641537,0.014648
2.038724,0.057617,8.597053,0.016699,-2.729079,0.034187
2.140069,0.054530,8.662360,-0.032008,-2.679722,-0.000426
1.993777,0.031646,8.791117,-0.055055,-2.746461,0.014615
2.036882,-0.012419,8.743792,0.024519,-2.768229,0.061271
2.111833,0.176579,8.455239,0.040300,-2.801633,0.030005
2.086686,0.021181,8.787966,0.077352,-2.741724,-0.049120
2.092061,-0.210807,8.781014,-0.037061,-2.789524,-0.042331
2.365556,-0.184063,8.834523,-0.052902,-2.897146,0.016809
2.140433,-0.007359,8.593725,-0.004096,-2.932497,-0.026968
2.161304,0.156005,8.779200,-0.028493,-2.970432,0.091265
2.430899,0.141289,8.751180,0.011900,-2.928559,-0.019563
2.453876,0.052679,8.787057,-0.007438,-3.021348,-0.106068
2.230598,0.007985,8.593216,-0.055120,-3.094007,-0.089991
2.406520,-0.141396,8.759997,-0.047814,-2.997361,-0.001777
2.286474,0.140550,8.745428,0.051623,-3.062697,0.031302
2.549413,0.087693,8.455889,-0.036036,-3.086956,0.029149
2.344484,-0.140641,8.571548,-0.023066,-3.114309,0.022648
2.555448,0.076504,8.539078,-0.021982,-3.210378,-0.047365
2.274037,0.003934,8.466171,0.003460,-3.181164,-0.031701
2.336729,0.037441,8.740005,0.001063,-3.200200,0.024728
2.511900,-0.274955,8.627100,0.062075,-3.200719,-0.040052
2.469076,0.049667,8.773729,0.067343,-3.301815,0.041795
2.234426,-0.070932,8.639902,0.002719,-3.325839,-0.072308
2.313806,0.177114,8.602405,-0.006863,-3.400505,0.038692
2.626770,-0.068513,8.645062,0.060672,-3.398783,0.012079
2.674979,0.027945,8.564747,-0.029016,-3.420823,0.030980
2.600786,-0.103601,8.508124,-0.001542,-3.354875,-0.019289
2.571625,0.046007,8.635015,0.039973,-3.449341,0.031831
2.484486,-0.015001,8.682019,-0.017886,-3.483997,-0.004620
2.543863,-0.098670,8.517731,-0.033442,-3.484308,0.026010
2.756002,0.001371,8.642138,0.023742,-3.478090,0.057974
2.779074,0.101018,8.538365,-0.014998,-3.553423,-0.024944
2.977160,-0.024619,8.220657,0.000934,-3.621112,0.064803
2.911935,-0.054924,8.463234,0.014548,-3.634620,0.047745
2.898153,-0.192271,8.289299,-0.086825,-3.735240,0.031834
2.570436,-0.095296,8.481462,0.002419,-3.673435,-0.053056
