acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.012393,9.185322,3.084886,-0.079461,0.015015,0.757391
-0.055650,10.196218,3.590762,0.429603,-0.005821,0.636336
0.221249,10.692208,3.110785,0.801444,0.073989,0.674758
0.041259,11.630756,3.399435,1.165689,-0.023249,0.727481
0.277478,12.141627,3.762742,1.539036,0.026598,0.810687
0.374451,12.559702,3.607545,1.768481,-0.098759,0.810566
0.396833,12.996518,3.614237,2.050687,0.110299,0.912664
0.564963,13.677871,3.536026,2.398652,-0.056407,0.833159
0.747802,13.540252,3.419812,2.468538,0.045501,0.771773
0.585749,13.846401,3.271111,2.565331,0.000028,0.789439
0.736820,14.097889,3.154324,2.401902,0.038686,0.749596
0.925528,13.790441,2.957336,2.460790,0.014107,0.754409
0.659981,13.635488,2.364198,2.303676,0.047196,0.704959
0.807267,13.199460,2.350236,2.030795,0.034137,0.636881
0.773255,12.629427,1.922273,1.793562,-0.061335,0.666348
0.919897,12.261880,2.028236,1.571929,-0.127961,0.585896
1.016831,11.463510,1.170633,1.310283,-0.027078,0.554468
0.945246,10.771402,1.105311,0.931875,0.047729,0.577393
1.049675,10.119208,1.030515,0.308807,0.104011,0.502499
0.911653,9.428084,0.639148,0.215976,-0.046940,0.303619
1.104715,8.860059,0.417170,-0.339983,-0.016522,0.391008
1.114843,7.907696,0.317669,-0.675499,-0.005238,0.277346
1.081729,7.485520,-0.108275,-1.088374,-0.015380,0.209431
0.842195,6.773243,-0.296003,-1.407235,0.075587,0.231367
0.981608,6.243039,-0.069123,-1.789892,-0.128387,0.092820
0.836262,5.514239,-0.036413,-2.087903,-0.007784,-0.003854
0.788135,5.187016,0.011332,-2.251546,-0.062357,-0.105976
0.768393,4.969387,0.444004,-2.324495,-0.058179,-0.094462
0.701905,4.894758,0.311514,-2.423862,0.054858,-0.111506
0.621720,4.618753,0.391853,-2.479729,0.043440,-0.140458
0.486248,4.935665,0.941927,-2.422209,-0.110232,-0.316705
0.351068,5.056181,0.907593,-2.290123,-0.037626,-0.248024
0.464339,5.572128,1.296351,-2.157382,0.005115,-0.335666
0.417604,6.042542,1.695346,-1.928519,0.010577,-0.404416
0.256507,6.404386,1.835792,-1.718438,-0.017118,-0.460751
0.320255,7.043213,2.062117,-1.295024,0.088040,-0.653765
0.211082,7.625996,2.571191,-1.034398,0.046181,-0.552217
0.208817,8.401149,2.730180,-0.553620,0.024024,-0.600353
0.139314,8.968990,2.842924,-0.185355,-0.042411,-0.670252
-0.438044,9.801832,3.105420,0.326884,-0.069957,-0.725507
-0.088436,10.297038,3.291327,0.659838,0.025078,-0.741356
-0.160378,11.100797,3.541024,1.025512,0.074914,-0.795420
-0.362841,11.860168,3.640903,1.396144,-0.095490,-0.822991
