acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-0.037451,0.087779,9.651190,0.062822,-0.028700,-0.009520
0.000595,0.057129,9.948690,-0.043183,0.039630,0.119872
-0.190231,0.061244,9.679772,-0.070473,-0.013846,0.122534
0.060660,0.179597,9.964460,-0.057878,0.022667,0.156773
-0.064204,0.226375,9.973309,0.003129,0.022011,0.214321
-0.197190,0.217366,9.925022,0.077937,-0.002479,0.158561
-0.031047,0.027369,9.923155,-0.036799,0.039079,0.160956
-0.143941,0.180037,9.805185,-0.010103,0.004108,0.231678
0.085865,0.155020,9.727850,0.011193,0.102581,0.282906
0.011870,0.379760,10.084495,-0.017416,0.040613,0.333324
-0.180898,0.325611,9.679616,0.057573,0.006588,0.349775
0.122257,0.203921,9.729043,-0.071349,-0.064789,0.322256
-0.070713,0.336180,9.848784,0.015174,-0.054490,0.481878
0.058044,0.373409,9.650414,0.001210,-0.009767,0.433872
0.087334,0.396523,9.949409,0.024890,-0.032180,0.464182
-0.084929,0.239382,9.805918,0.047534,0.014185,0.530171
0.155514,0.479745,9.786040,0.025657,0.000357,0.590860
-0.104442,0.700141,9.686448,-0.032674,0.082816,0.588326
-0.087047,0.586390,9.587278,0.062241,-0.007555,0.679766
0.152951,0.621666,9.917908,0.029369,0.045874,0.649828
0.066974,0.556205,9.682423,0.043025,0.073858,0.709077
-0.016809,0.487288,9.868339,0.001388,-0.020938,0.741538
0.096814,0.810311,9.854612,0.068457,-0.040169,0.753682
0.110949,0.626213,9.752607,0.064436,0.024982,0.912153
0.056841,0.644271,9.842302,-0.018018,0.005051,0.836882
-0.127343,0.613629,9.886250,0.005732,-0.070964,0.926679
0.106403,0.629923,9.890474,0.012939,-0.002302,0.919637
-0.063928,0.778959,9.980034,-0.035790,0.029109,0.924379
0.096898,0.901260,10.039055,0.020476,0.082978,1.066615
-0.084466,0.716227,9.723346,-0.060205,-0.021470,1.060023
-0.030540,0.580763,9.785109,-0.002811,-0.055976,1.094549
-0.065348,0.986138,9.852291,-0.000401,0.076573,1.104979
-0.072084,0.991659,9.896792,0.046720,-0.050684,1.109959
-0.092225,0.890477,9.542957,0.028866,0.043349,1.148755
-0.130879,0.889321,9.818900,0.000963,-0.055263,1.215773
-0.113446,0.945580,9.662961,0.033477,-0.017398,1.249031
0.020534,1.087057,9.858284,-0.045192,-0.025934,1.365288
0.001483,0.879819,9.735606,0.002917,-0.040092,1.318344
-0.048877,1.045130,9.818998,-0.063897,-0.040566,1.421320
0.171065,1.219754,9.691499,-0.005699,0.075629,1.399064
0.081408,1.227915,9.713272,-0.001439,0.025636,1.331945
0.101864,1.160611,9.640806,0.008198,-0.001959,1.534262
0.054624,1.234668,9.782680,0.038587,-0.045348,1.560477
-0.004494,1.151120,9.883216,-0.010493,-0.036178,1.554647
-0.005214,1.286161,9.852858,-0.008111,0.061539,1.596359
-0.138550,1.187650,9.544807,0.008226,0.036026,1.662420
0.067769,1.178276,9.825909,0.031344,0.056779,1.679024
0.044519,1.424800,9.665519,0.006706,0.049567,1.687012
-0.007819,1.581729,10.015718,0.001330,0.068863,1.791496
0.118479,1.450571,9.689387,-0.000327,-0.018142,1.821117
0.086235,1.419886,9.877264,0.032017,0.012623,1.785686
-0.075941,1.446874,9.829699,0.013268,-0.000868,1.807959
0.029553,1.555650,9.740497,0.005162,0.010617,1.855488
-0.161194,1.720154,10.108711,0.036153,0.051553,1.945271
0.053690,1.395078,9.717217,-0.011050,0.030233,1.945565
0.061094,1.743668,9.664454,-0.049430,0.026909,1.984263
-0.014920,1.635023,9.913750,0.103742,0.058291,2.042835
-0.041232,1.452630,9.884544,0.009967,0.006549,2.010212
0.134976,1.659154,9.858629,-0.069559,-0.034902,2.084422
-0.056939,1.596349,9.933171,-0.084222,-0.021773,2.112397
0.046500,1.785463,9.990254,-0.008617,-0.026469,2.144613
-0.126581,1.689152,9.828953,0.068956,0.026486,2.171833
-0.067718,1.878149,9.787513,-0.002734,-0.001133,2.199497
-0.119104,1.820842,9.830441,-0.030765,0.040421,2.249396
0.112162,1.888904,9.865338,-0.043788,-0.001726,2.306879
0.038435,1.847917,9.724054,-0.078908,-0.001630,2.372849
0.034661,1.859306,10.012779,0.018049,0.089192,2.424145
0.161062,2.003998,9.855416,0.057957,0.112003,2.440398
-0.010555,1.805500,9.784060,0.006523,0.038950,2.423674
0.012168,2.013146,9.866344,0.004307,-0.025909,2.497934
0.110560,1.931330,9.728031,-0.026076,-0.027477,2.534524
0.174103,2.135683,9.763108,-0.005508,-0.077101,2.495734
-0.012865,2.059617,9.813789,-0.045891,-0.035319,2.606505
0.056722,2.404919,9.832771,0.008758,0.042611,2.656011
0.079512,1.927119,9.751812,0.042876,0.024336,2.670258
0.147458,2.206551,9.283307,0.043974,0.036777,2.712885
0.080883,2.417230,9.570492,0.050843,-0.093832,2.722194
0.182327,1.883193,9.922561,-0.012232,0.046107,2.832640
-0.001038,1.962608,9.863537,-0.058007,0.056447,2.758898
0.138101,2.317048,9.880179,-0.045649,-0.009371,2.828998
-0.049401,2.078792,9.893024,-0.062337,0.025995,2.904874
0.209970,2.466485,9.571455,0.042162,-0.017338,2.912086
-0.181787,2.258196,9.618843,-0.001217,0.067520,2.836271
0.005303,2.435699,9.638370,-0.038278,0.000222,2.942189
0.093255,2.489399,9.744222,-0.010333,-0.005043,2.995275
-0.020703,2.212067,9.770129,0.002579,0.025126,3.048103
0.000886,2.495070,9.855466,-0.018128,-0.006631,3.093228
0.029309,2.471876,9.844344,-0.069613,0.018462,3.111456
0.120244,2.520914,9.848112,0.050461,0.023642,3.212270
-0.022341,2.483540,9.872746,-0.040440,-0.014855,3.151741
-0.066627,2.636266,9.813391,-0.028208,0.050084,3.296910
-0.036472,2.579328,9.749026,-0.045925,-0.018331,3.270333
-0.197496,2.693429,9.837786,0.023424,-0.070392,3.245233
0.101960,2.612484,10.037446,0.019585,-0.077962,3.327452
-0.045568,2.600023,9.690758,0.006484,0.016627,3.375626
-0.208071,2.917728,9.974528,-0.014630,0.033783,3.428674
0.072089,2.655059,10.027352,-0.025881,0.001509,3.468564
-0.042206,2.759084,9.982471,0.068729,0.031453,3.537791
0.079069,3.084276,9.839848,-0.024424,-0.020967,3.515765
-0.047644,2.775504,9.588361,-0.005743,-0.040321,3.611788
-0.033431,3.015049,9.881861,0.035334,-0.012227,3.622791
0.002437,2.787083,9.837225,0.008916,0.028793,3.579321
0.121538,2.986938,9.830009,-0.005826,-0.002322,3.694010
-0.095635,3.068091,9.434172,-0.025138,-0.099997,3.661768
0.045941,3.301244,9.628996,-0.002442,0.002555,3.808357
-0.028964,3.020633,9.754491,0.023310,0.003261,3.775683
0.124365,3.107054,9.828277,0.044167,-0.023604,3.807338
0.095673,3.081147,10.191585,-0.043570,0.056756,3.864621
0.018162,3.131348,9.604744,-0.028301,-0.004578,3.905278
-0.065214,3.274376,9.649746,-0.010029,-0.021379,3.894692
-0.258907,3.169346,9.974490,0.013558,-0.014322,3.938684
0.005086,3.153910,9.586982,-0.053442,0.003106,3.985557
0.054270,3.302375,9.596192,-0.012866,0.007951,4.058697
0.136144,3.343682,9.945878,0.028063,0.022109,4.055121
0.070023,3.359017,9.872487,-0.022680,-0.041757,4.076993
0.104217,3.091102,9.629873,0.000786,-0.031451,4.140533
-0.088321,3.322551,9.856577,-0.038618,-0.066440,4.205438
0.038962,3.500959,9.947820,-0.018977,-0.033481,4.164879
-0.104686,3.424313,9.708261,0.016921,0.054996,4.228481
-0.022590,3.463075,9.400955,-0.008623,0.042865,4.208158
0.289349,3.521206,9.738516,0.078675,0.097764,4.208293
