acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.001333,-0.027778,9.784108,-0.011925,0.032415,-0.021997
-0.028161,-0.023690,9.746778,0.013728,0.010485,-0.031580
-0.012936,-0.017960,9.772111,-0.016616,-0.013254,0.011292
0.007752,0.011994,9.782168,-0.007341,-0.001712,-0.029153
-0.007207,0.107931,9.916022,0.046518,0.001424,0.009980
-0.052705,-0.045722,9.757030,-0.010813,-0.013053,0.038254
0.052853,-0.019926,9.821984,-0.038334,0.005573,-0.024230
0.099848,-0.000523,9.845313,-0.008100,-0.012762,-0.019720
0.026021,-0.029411,9.862959,0.000709,-0.051361,-0.006310
-0.042485,0.066994,9.780628,-0.001806,-0.027186,0.030264
-0.023898,-0.054424,9.763787,-0.011889,-0.004750,-0.011844
-0.021338,-0.121567,9.798334,-0.001631,0.026163,0.049460
-0.025399,0.039501,9.831149,0.014913,0.021760,0.034329
-0.035382,-0.022928,9.798269,0.004977,0.031405,0.015848
0.074298,-0.041115,9.774013,0.002880,0.007007,-0.036428
-0.056429,-0.074102,9.825351,0.005842,-0.030875,-0.032505
0.010145,0.064138,9.862071,0.003858,-0.022282,-0.000142
0.119856,-0.003694,9.796974,0.002769,0.003661,-0.018082
-0.065011,0.034829,9.815928,0.017974,-0.001785,0.008822
0.032563,-0.056956,9.827580,-0.023929,-0.003567,0.021946
0.010260,0.006952,9.775837,0.019404,-0.015946,-0.010911
0.059466,0.102515,9.754483,-0.019774,-0.013128,-0.027981
0.036022,-0.143893,9.843431,-0.002764,0.012663,-0.015701
-0.093508,-0.026248,9.744349,-0.001812,-0.004410,0.021102
-0.010781,0.041940,9.717134,-0.012232,-0.011504,-0.016920
-0.017974,-0.025668,9.889052,-0.022750,0.010584,-0.002702
0.021588,-0.058861,9.786436,0.001096,0.025493,0.026642
0.077805,0.035718,9.764089,-0.032925,0.012957,0.004513
-0.013354,-0.011755,9.783101,-0.009232,0.006554,-0.034528
-0.085511,-0.033881,9.879460,0.029253,0.010299,-0.017304
-0.019057,-0.005163,9.817027,-0.011708,-0.034063,-0.006279
0.110907,0.000444,9.864697,-0.009655,-0.026502,0.015534
-0.029909,-0.012970,9.810628,0.025536,-0.000547,-0.006113
-0.038707,-0.010186,9.854403,0.008700,-0.000393,-0.021644
-0.040018,0.000004,9.845437,-0.013054,-0.005929,0.004964
-0.041223,0.054771,9.813644,0.000187,0.004207,-0.030497
-0.008256,-0.100407,9.791320,0.013304,0.000068,0.051054
0.018580,0.087267,9.838395,-0.007753,0.006469,0.056584
0.056311,-0.060455,9.803659,0.003882,-0.001353,-0.019738
0.061037,-0.044387,9.858261,0.030565,-0.023182,0.008542
0.036666,0.013736,9.793566,-0.009471,-0.003787,-0.028479
-0.049315,0.088769,9.841594,0.026863,-0.005556,-0.024302
0.017031,-0.020642,9.811894,0.025054,-0.010083,0.006692
0.008236,0.019994,9.846718,0.016828,0.009481,-0.043933
-0.039124,-0.073330,9.814215,0.013907,-0.002012,-0.006581
-0.087361,-0.016183,9.784541,-0.002181,-0.032201,0.003843
0.024587,0.099130,9.712770,-0.027288,-0.005717,0.003125
0.113709,-0.011654,9.827391,0.021481,-0.016392,0.029032
-0.070742,0.049844,9.812074,0.018937,-0.008588,-0.022175
-0.003073,-0.096869,9.813690,-0.028876,0.005435,-0.014746
0.042291,-0.011814,9.868711,0.023987,-0.013590,-0.018013
0.056645,-0.032055,9.889756,0.004673,-0.013721,0.000171
0.002265,0.002487,9.814949,0.019720,0.002345,0.002419
0.003466,-0.131507,9.800725,0.004103,-0.033862,0.007837
-0.068197,0.081317,9.889304,0.003199,0.017858,0.012116
0.042597,-0.011923,9.759600,-0.004039,0.020648,-0.005853
-0.032879,0.097132,9.775391,0.004943,-0.006223,0.009235
-0.117780,0.051508,9.885026,-0.007530,0.032951,0.040347
0.082961,0.051917,9.870076,0.017479,0.030826,-0.030784
0.002647,-0.103815,9.811395,-0.028428,-0.006431,0.000825
0.031079,-0.006764,9.800959,-0.003964,-0.032843,0.023032
-0.048206,-0.050087,9.901908,0.043084,0.025620,0.021710
0.093717,-0.000132,9.824077,0.004522,-0.016860,0.001451
-0.049043,0.032129,9.897983,0.042112,-0.007040,-0.009099
-0.076462,0.023194,9.836951,0.022146,0.023474,-0.016958
0.026380,0.082141,9.911801,-0.005230,-0.010038,0.001394
-0.011674,0.033659,9.814212,0.022074,-0.016081,0.021793
-0.031606,0.013541,9.843575,0.002033,0.046524,0.006377
0.010846,-0.044059,9.786822,-0.001938,0.011494,-0.006743
-0.022795,-0.042122,9.825678,-0.035905,-0.004810,-0.005126
0.020906,0.048976,9.767119,-0.031846,-0.001461,-0.041342
-0.028874,0.077728,9.801776,-0.006954,0.004872,0.001940
0.001507,-0.008755,9.866652,-0.008221,-0.001711,-0.015681
0.058590,0.055660,9.811329,0.000216,0.001162,-0.018005
-0.043622,0.096261,9.852816,0.005354,0.005229,-0.003324
-0.022833,0.071191,9.783220,0.048421,-0.002814,-0.005585
0.070535,0.073914,9.763927,-0.008448,-0.019419,0.013718
0.029088,0.039110,9.940746,-0.013725,-0.011359,-0.010765
-0.037115,0.071627,9.810867,-0.019699,-0.035022,-0.009259
-0.062068,-0.005999,9.810123,0.017467,0.003940,0.031212
-0.052945,0.015609,9.857891,0.015019,0.010479,0.037653
0.011910,-0.027092,9.802577,-0.001943,0.001262,-0.000229
-0.000227,0.010866,9.865492,0.030876,0.000050,-0.012966
0.013597,-0.070135,9.781884,0.011754,-0.016325,0.010669
0.008301,0.056206,9.874893,0.008277,-0.003788,0.011316
0.088734,0.006531,9.848166,-0.029756,0.003259,-0.009255
-0.072723,0.021494,9.756237,0.057245,0.003117,-0.011928
-0.003127,0.151492,9.825178,-0.027566,0.026108,-0.007001
-0.043191,0.020389,9.784146,-0.015827,0.006726,0.012994
-0.048037,0.105157,9.863341,0.012679,0.000395,0.003184
0.017277,-0.019591,9.794461,0.004641,0.006728,0.008498
0.077124,0.015329,9.655860,0.021889,0.001128,-0.016336
0.121047,0.009153,9.827168,-0.002886,0.015076,-0.035731
0.054335,0.023270,9.847346,-0.035615,0.018366,0.030402
-0.021186,-0.061490,9.824012,-0.025304,0.002009,-0.007991
0.071581,-0.032390,9.773600,-0.005217,0.006111,-0.025857
0.061051,-0.022862,9.789473,-0.022144,-0.006025,-0.002908
-0.018657,-0.003249,9.731318,-0.022519,0.015793,-0.008351
-0.026967,0.011518,9.821162,-0.008436,0.005653,-0.002578
0.057900,0.091970,9.885625,0.016750,-0.018668,-0.027948
0.045733,-0.007437,9.778847,-0.006196,0.001205,-0.024815
0.000894,0.029279,9.851097,-0.027755,0.003646,-0.015156
0.031154,-0.006059,9.849343,-0.029050,0.019307,-0.012636
0.063044,0.044008,9.808400,0.022996,0.000569,0.005895
-0.041692,-0.042878,9.775940,-0.004230,-0.053103,-0.022736
0.012854,0.025990,9.739274,-0.002514,0.007295,-0.035793
-0.025200,0.012164,9.765017,-0.001072,-0.022445,0.004692
0.021695,-0.015371,9.773829,-0.000388,0.014870,0.021336
0.002660,0.019614,9.767574,0.009180,0.017208,-0.007007
-0.012131,0.023384,9.771896,0.056462,-0.024376,-0.010555
-0.082888,-0.076829,9.789098,0.018027,0.015054,0.009748
-0.065921,-0.017386,9.893248,0.013506,-0.041671,0.031786
-0.068930,-0.014130,9.916615,-0.004078,0.024918,-0.040671
0.020407,-0.018386,9.802156,0.005131,-0.011270,0.011442
0.021468,0.084789,9.783458,0.006341,0.007321,-0.021179
-0.037881,-0.068940,9.815155,-0.001139,-0.003603,0.009906
-0.070284,-0.023189,9.764566,0.019786,0.003010,-0.025523
0.053706,-0.025420,9.829847,0.002152,0.052222,0.032920
-0.080205,0.006575,9.749843,-0.059488,0.001267,0.018642
-0.021282,0.110560,9.856609,-0.003647,-0.009202,-0.005339
-0.006421,0.159947,9.764241,0.011044,-0.022969,0.023774
0.058261,-0.076634,9.797804,-0.001120,-0.018700,0.022487
-0.067389,0.012864,9.812799,-0.030903,-0.011104,-0.011434
-0.015383,0.054603,9.781646,0.042879,-0.013700,-0.043099
0.016343,0.041028,9.735839,-0.011636,0.009111,0.015682
-0.037421,0.002693,9.841508,0.045531,0.028138,0.003758
0.071062,-0.010794,9.794177,-0.017828,0.032481,-0.007371
-0.043630,0.016499,9.795144,-0.013163,-0.008341,-0.025046
-0.013702,-0.004694,9.837582,-0.009300,-0.004662,0.014613
-0.028187,-0.038608,9.831587,-0.007762,-0.025349,-0.032075
-0.151286,-0.030184,9.752435,0.004191,0.001453,-0.011086
0.060163,-0.022047,9.781964,-0.009349,0.007770,0.027811
-0.002431,-0.029769,9.789868,-0.015603,0.001778,0.019165
0.004856,-0.021102,9.788540,-0.015522,-0.000313,-0.000760
-0.050508,-0.057689,9.813032,-0.026226,0.003370,0.000631
0.015330,-0.071408,9.847998,0.011102,-0.023738,0.000199
0.038202,0.048734,9.824995,0.027635,0.041550,0.025603
0.031854,0.109251,9.794925,-0.023541,0.009021,-0.009663
-0.052285,-0.076703,9.897784,0.005678,-0.015444,-0.034269
0.088439,-0.046230,9.773634,-0.006890,0.014452,0.005760
-0.016200,0.061213,9.745635,0.008059,0.004327,0.008091
-0.098331,0.108376,9.825619,0.010590,-0.005494,0.001658
0.022721,-0.010255,9.833290,0.034865,0.002841,0.000851
-0.075710,-0.042046,9.815258,0.002058,-0.004358,-0.008707
-0.113545,-0.015126,9.791792,0.004174,-0.010114,-0.002910
-0.015135,-0.027554,9.760206,-0.015810,0.002160,0.011684
-0.091102,0.007237,9.794994,-0.004238,-0.040168,0.011807
-0.068764,0.003127,9.795253,0.002404,-0.019865,0.015465
-0.023051,-0.107845,9.844139,-0.027969,0.020908,-0.001147
-0.061653,0.003164,9.769587,-0.045377,0.003567,-0.008124
-0.019436,0.057615,9.836581,-0.011137,-0.014755,-0.002544
0.056502,0.016519,9.829807,-0.009704,-0.037134,0.025441
-0.089057,-0.015876,9.798755,-0.004887,-0.014639,-0.022568
0.061183,-0.025311,9.823243,0.015415,-0.025969,0.002680
0.011288,0.057884,9.803313,-0.011673,-0.010508,-0.022071
0.041389,-0.085243,9.729300,-0.012406,0.000176,0.004706
-0.114167,0.039299,9.843684,-0.015712,-0.001819,0.017769
0.044841,-0.033868,9.781823,-0.033253,-0.000125,-0.019016
-0.006052,0.072185,9.894691,-0.021054,0.005220,-0.010905
0.039690,0.016551,9.876770,-0.024336,0.026486,0.018402
-0.012792,-0.019547,9.803550,-0.038646,-0.029489,0.011869
-0.048936,-0.008750,9.754130,-0.005697,0.030011,0.012327
0.051250,0.027184,9.881478,0.005989,-0.020437,0.009829
-0.081464,0.095085,9.731377,-0.025515,0.026105,0.008443
-0.059915,-0.031041,9.875386,-0.016497,0.016094,0.044830
0.011279,-0.012191,9.770369,-0.004352,0.011008,-0.008637
-0.068797,0.056631,9.849933,0.001707,-0.030145,-0.000011
0.067623,0.019841,9.677896,0.000872,0.035980,-0.035900
-0.062229,0.023244,9.791514,-0.005618,0.025762,-0.004835
-0.027942,-0.055161,9.857380,-0.003427,-0.016665,-0.018652
0.022810,0.025060,9.778320,-0.036517,-0.012584,-0.019787
0.008814,-0.066888,9.803509,0.002361,-0.015753,-0.009592
-0.126396,-0.078406,9.793885,-0.009044,-0.000963,-0.010570
0.118756,-0.090037,9.747822,-0.021236,0.001715,0.021350
0.010839,0.088471,9.820109,0.002569,-0.012196,-0.002463
0.035107,-0.016880,9.784470,-0.041013,-0.002788,-0.008007
0.004109,-0.032914,9.846214,-0.018669,-0.015042,-0.008205
-0.080314,0.044499,9.811966,0.019849,0.021841,-0.018563
-0.010736,-0.082149,9.761011,-0.010362,-0.009852,0.016191
0.059933,-0.010430,9.823920,0.002910,0.001856,0.010725
-0.043977,-0.001453,9.741393,-0.011928,0.027278,-0.000035
0.004994,0.018532,9.826031,-0.017118,-0.004593,0.024639
-0.045179,-0.017103,9.836860,-0.008503,0.018991,-0.012507
-0.010572,-0.014365,9.905174,-0.015313,0.013192,-0.017479
-0.047549,0.054021,9.752266,0.016451,0.007033,-0.017472
0.032739,0.035408,9.784482,-0.001429,-0.010975,0.006980
-0.060874,-0.098522,9.779244,0.037756,-0.007414,0.010676
0.026311,-0.053881,9.814848,0.000489,0.000481,-0.003304
-0.073821,-0.011694,9.752648,-0.017148,0.006703,-0.005775
-0.003899,-0.025054,9.750483,-0.018096,0.020283,0.001980
-0.032944,-0.046708,9.744305,-0.004562,0.026801,-0.036722
0.054137,-0.018009,9.699889,0.025456,-0.017604,0.004231
-0.031164,0.045736,9.771933,-0.011761,-0.018460,0.026278
0.074887,-0.042833,9.835171,0.037124,-0.004425,0.006709
0.051832,0.022510,9.741276,0.001140,0.034610,-0.042263
-0.047123,0.058504,9.769770,0.007542,-0.014543,-0.047119
0.048784,-0.021514,9.817072,-0.007211,0.036961,-0.013121
-0.069305,-0.030413,9.766235,0.015815,0.023973,-0.000254
0.011280,0.004660,9.833133,0.002409,-0.034326,-0.014323
-0.024526,-0.046512,9.819137,0.018140,0.001214,0.007347
-0.051479,0.053921,9.804275,0.002663,0.043840,-0.008610
-0.016307,0.023109,9.806182,0.032108,0.002670,0.033884
-0.082903,-0.053071,9.862885,-0.024500,0.003693,-0.007874
0.004194,-0.084078,9.827606,0.002789,0.024448,0.007576
-0.027963,-0.043725,9.752757,0.024408,-0.013404,-0.016457
0.049996,-0.098275,9.768124,0.000322,-0.000773,-0.003717
0.006006,0.078918,9.837693,-0.019173,0.023973,-0.007257
-0.042301,0.076468,9.742245,0.028522,0.000255,0.012969
0.013267,0.024389,9.765944,0.011154,-0.016485,0.007344
0.034880,-0.025695,9.844757,0.038567,0.005032,0.018026
-0.091980,0.016749,9.789395,0.013865,0.006141,0.003730
0.057485,-0.002199,9.872462,0.010946,0.015266,-0.027043
0.025381,-0.006375,9.849384,0.004946,-0.003682,-0.007831
0.039703,0.023596,9.695385,0.025919,-0.014663,-0.027895
-0.049128,0.069205,9.747203,0.015914,-0.028408,-0.038559
0.044123,0.035323,9.773713,0.018165,0.003174,0.009454
-0.099762,-0.028446,9.913901,-0.008849,-0.027688,-0.023716
-0.043164,-0.039713,9.760121,-0.005444,-0.025448,0.006141
0.060739,-0.012146,9.778705,-0.009249,0.003701,0.003103
0.070674,0.028975,9.764036,0.007736,0.009990,-0.006878
-0.061179,0.057908,9.810840,0.003679,0.004720,-0.048578
-0.077453,-0.089156,9.754198,0.012931,0.002999,0.011281
-0.061974,-0.102304,9.755025,-0.025737,-0.006315,-0.021831
-0.045954,-0.023134,9.894646,0.014892,-0.028102,-0.018573
-0.013342,-0.008379,9.835464,0.010686,-0.012587,-0.018568
-0.011866,0.020008,9.824031,0.018134,0.018954,0.014441
0.006129,0.138323,9.855556,0.016974,-0.004632,-0.004092
-0.054086,0.018511,9.770413,-0.012962,0.003355,-0.010558
0.022313,-0.068759,9.754611,-0.008661,0.011998,0.023691
0.017195,0.049883,9.835133,0.007965,0.035886,-0.014110
0.042706,0.018691,9.818625,-0.036759,0.014293,-0.015437
-0.025185,0.040650,9.861244,-0.005474,-0.035396,-0.017984
-0.003156,-0.005846,9.889570,-0.030045,-0.008686,-0.007891
-0.001021,0.003784,9.834211,0.001799,0.024794,0.013538
-0.004890,-0.041017,9.828898,-0.032443,0.012160,0.002235
-0.001938,0.092112,9.849422,-0.001957,-0.000454,0.004091
-0.029774,0.036453,9.825394,-0.013838,-0.003647,0.023679
0.065471,-0.026223,9.819434,-0.014078,-0.020598,-0.001234
-0.004955,0.002924,9.765740,-0.022611,-0.034456,-0.006889
0.028796,0.020898,9.874262,0.028972,-0.000772,0.003572
-0.000501,-0.020592,9.849465,-0.042603,0.008763,0.001867
-0.039710,0.054249,9.864142,-0.013298,0.003601,0.003402
0.062864,0.018831,9.785676,-0.021190,0.006637,0.023943
0.005459,0.019003,9.781993,-0.004559,-0.017352,-0.003552
0.066656,0.029004,9.765389,0.017092,-0.024526,0.011571
0.094144,0.004869,9.755295,-0.013560,0.004841,-0.011287
-0.041513,0.074389,9.901250,-0.011340,0.030462,-0.028182
0.050474,0.065965,9.870831,0.009707,0.034626,0.013710
0.027846,0.016452,9.836993,-0.026622,-0.025632,-0.015033
0.036801,-0.037080,9.846599,0.003158,0.004519,-0.025434
0.072931,-0.010319,9.794338,-0.017455,-0.016230,-0.003615
0.023827,-0.032483,9.744160,0.039694,-0.018664,-0.019539
0.057386,-0.022548,9.810923,-0.022663,0.012711,-0.000827
-0.030506,0.063838,9.852659,-0.017925,-0.007256,-0.015830
-0.012037,-0.058995,9.792654,0.005918,0.053688,0.011017
0.028508,0.009432,9.815455,-0.001860,-0.013300,-0.026868
0.010585,0.037940,9.807907,0.014674,0.013587,-0.009322
0.022501,-0.049346,9.937693,0.024267,0.000422,0.015495
-0.014193,0.010180,9.838324,0.005924,-0.003543,-0.019098
-0.020540,0.000391,9.809784,-0.002911,0.016841,-0.010163
-0.045702,0.021929,9.727539,0.008795,-0.021655,0.015601
0.087635,0.039649,9.841956,0.006259,-0.024042,-0.004480
-0.086832,-0.039626,9.879468,0.018629,-0.025181,-0.021419
0.207562,0.059735,9.861848,-0.001390,0.042667,-0.013452
0.026249,-0.042375,9.859759,0.009905,0.005203,-0.011790
-0.055060,-0.060529,9.746324,0.003223,-0.008957,-0.007156
0.048786,-0.002871,9.815043,-0.033225,-0.000489,0.017982
-0.000770,-0.056286,9.776464,0.001149,0.021810,0.011607
-0.031021,-0.070264,9.784790,-0.001191,-0.012559,-0.009725
-0.054065,0.028884,9.843049,-0.029410,-0.005342,0.002920
-0.064682,-0.014832,9.902803,0.034308,0.010566,-0.017297
-0.049038,0.021332,9.815276,-0.028787,-0.004131,0.016235
0.054644,0.014773,9.788436,-0.004412,0.010840,-0.003623
0.003338,0.004068,9.805416,0.014340,-0.031945,0.032084
-0.065956,0.062154,9.863322,-0.022250,0.015875,-0.005444
-0.052209,-0.015036,9.798746,-0.002317,-0.004822,0.005112
-0.057826,-0.093340,9.776471,0.009150,0.021167,0.028159
-0.017820,-0.072062,9.818850,0.006636,0.034273,0.001859
0.058143,0.042106,9.803666,0.021549,0.008574,-0.010984
-0.092021,0.035785,9.817320,0.003625,0.010063,-0.000644
0.021218,0.096805,9.768760,0.008257,0.017307,-0.000467
-0.143741,-0.052673,9.834303,-0.058878,0.033565,-0.005952
0.001346,-0.060782,9.739015,-0.016466,-0.022482,-0.006729
-0.017730,-0.062305,9.836032,-0.011255,-0.014740,-0.013643
-0.020571,-0.031356,9.772086,0.010595,0.040607,0.016411
0.013156,0.002130,9.820098,0.022452,-0.007548,0.002093
0.009006,-0.003610,9.758344,0.008530,-0.013191,-0.008515
-0.036519,-0.019734,9.913260,0.017091,0.021806,0.001348
-0.067442,-0.020949,9.814914,-0.023903,-0.005912,-0.028827
-0.015167,0.053698,9.794576,0.001504,0.005108,-0.005414
-0.011727,0.040731,9.900536,0.004834,0.008338,0.005137
0.070375,-0.006833,9.807525,-0.024031,-0.005065,0.008197
0.002336,0.007350,9.767633,0.031574,-0.005439,0.011017
0.046830,0.010330,9.807757,0.017563,-0.003933,0.022968
-0.063557,0.003114,9.715340,0.024043,0.027608,0.009169
-0.029082,-0.028155,9.824350,0.047203,-0.012306,0.042482
0.093993,0.028595,9.882421,0.015366,0.026808,-0.006401
0.032261,0.056253,9.902857,0.016889,0.028539,-0.021747
-0.036592,-0.039855,9.843441,-0.003267,-0.042825,-0.003567
-0.000184,0.011018,9.797567,-0.016320,-0.004355,0.058473
