acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.137424,9.106244,1.953730,-0.010430,0.030690,0.006145
0.063914,9.200042,1.925541,0.006347,-0.004143,0.050507
0.022079,9.125018,1.830745,-0.018524,-0.009680,-0.037120
0.013784,9.246369,1.858510,0.026113,-0.017464,-0.014101
-0.063550,9.236903,1.987999,-0.009761,0.001882,-0.037523
-0.006119,9.379569,1.863322,-0.060115,0.013731,-0.063407
0.015449,9.227067,1.967873,0.034241,0.046756,-0.004927
-0.062527,9.415257,1.787402,0.049035,-0.000728,0.047977
0.137238,9.273912,1.968628,-0.002205,-0.070946,-0.002397
0.106762,9.340968,1.867781,0.064150,0.016049,-0.015460
0.048007,9.427385,1.856916,0.024206,0.029134,-0.002568
0.169474,9.314468,1.894922,0.094557,-0.015523,0.030075
-0.071463,9.271363,1.774805,0.040047,-0.020995,-0.012733
-0.033220,9.273795,1.846887,0.049153,0.004344,0.010142
0.059828,9.282921,1.883554,-0.029050,0.019680,0.008619
-0.026027,9.334410,1.941817,0.019527,0.010827,-0.012277
-0.056078,9.321619,1.933411,0.005100,-0.007257,-0.013926
-0.091157,9.294037,1.985282,0.089682,0.027356,-0.029054
0.045771,9.304256,1.994510,0.086761,-0.012986,0.000884
-0.078396,9.252254,1.921665,0.053997,-0.059100,-0.007111
0.119805,9.346738,1.921095,0.011273,0.006152,0.011101
0.123531,9.316207,2.123226,0.027549,-0.003709,0.031954
-0.040903,9.263691,1.932423,0.040302,0.001243,0.004436
-0.019927,9.285459,2.155137,0.087719,0.005180,-0.015433
0.025490,9.392642,1.911238,-0.023247,-0.043018,-0.014011
-0.046214,9.442952,1.815292,0.032148,-0.016669,0.010534
-0.091429,9.346505,2.058575,0.019715,-0.027435,0.018379
-0.029961,9.404943,1.953803,0.079218,-0.033215,0.007311
0.103701,9.250209,2.011516,-0.017654,-0.044236,-0.017663
-0.015912,9.456288,1.888111,0.074897,-0.023361,-0.024483
0.001951,9.379383,1.874434,0.043281,0.001113,-0.023554
-0.102433,9.346411,1.965959,0.103128,-0.007961,0.003408
-0.060553,9.371669,1.805597,0.032824,0.013199,0.037049
-0.029652,9.485167,2.013731,0.096117,-0.022868,0.033024
-0.006954,9.427946,1.891871,0.064021,0.029236,-0.002756
0.129955,9.579021,1.972093,0.043236,0.028071,0.028641
0.207255,9.364300,1.859555,0.097128,0.005956,-0.003207
-0.056770,9.406239,2.145300,-0.022337,-0.048338,-0.011828
-0.022493,9.360077,1.889111,0.019721,0.024424,-0.039301
0.091202,9.513652,1.922761,0.039001,-0.013861,0.036142
-0.150063,9.348565,2.099870,0.037073,0.013572,0.005871
0.055105,9.449039,2.112206,0.083690,0.025506,-0.001003
0.156666,9.445841,1.961782,0.006966,-0.006952,-0.000599
-0.046564,9.430827,1.844728,0.067690,-0.022127,0.034227
-0.119231,9.320624,2.050786,0.060765,-0.027615,-0.013747
-0.124912,9.619238,1.905972,0.119451,0.019931,0.031454
0.138988,9.438802,1.839428,0.031576,-0.020665,-0.020443
0.102702,9.584882,1.892519,0.069575,-0.005220,-0.014685
-0.026532,9.404954,1.955598,0.054332,-0.023821,-0.005395
0.008626,9.453954,1.819925,0.099852,-0.045394,0.010394
-0.046470,9.542949,1.948878,0.109051,-0.005496,-0.015866
-0.026195,9.416768,1.916898,0.096557,-0.029527,-0.000681
