acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.084674,9.491494,2.260860,0.049887,-0.006353,0.384681
0.042327,9.621161,2.203088,0.193131,-0.001962,0.377787
0.198809,10.002602,2.282072,0.305872,0.041027,0.362126
0.108414,10.141723,2.293832,0.378363,-0.004418,0.499297
0.156453,10.365550,2.354331,0.519097,-0.033286,0.508160
0.024560,10.472641,2.442473,0.642043,0.021682,0.442140
0.197163,10.746955,2.561410,0.718753,0.030211,0.502575
0.231618,11.078386,2.481229,0.911315,-0.021304,0.464870
0.191152,11.196542,2.362856,1.018536,-0.060918,0.549244
0.354581,11.231833,2.557112,1.093518,0.034404,0.472487
0.296542,11.546295,2.316076,1.070489,-0.008402,0.447312
0.291239,11.565151,2.495825,1.112146,0.025789,0.522506
0.553084,11.589551,2.501047,1.140461,0.027045,0.510433
0.383551,11.724194,2.150448,1.258605,0.022765,0.528661
0.479229,11.379205,2.049783,1.216778,0.039197,0.427236
0.507081,11.451354,2.112920,1.176038,-0.001559,0.459746
0.572699,11.472275,1.873864,1.165832,0.025375,0.474366
0.454636,11.337037,1.854777,1.092569,-0.029429,0.490183
0.530558,11.286839,1.921516,1.050265,-0.040745,0.424651
0.464934,11.314590,1.535685,0.889094,0.001415,0.409096
0.558853,11.127884,1.636774,0.845370,0.063384,0.354001
0.522374,10.877576,1.449265,0.794330,0.087468,0.425192
0.521313,10.677077,1.478166,0.652129,-0.045363,0.308175
0.631428,10.449257,1.246730,0.515368,-0.027480,0.313198
0.445124,10.202536,0.969790,0.389991,-0.004090,0.339549
0.537188,10.126559,0.943913,0.219269,-0.027290,0.290825
0.525087,9.772780,0.779457,0.123047,0.073457,0.282563
0.555254,9.526325,0.791988,-0.073369,0.016727,0.270232
0.442688,9.199935,0.671230,-0.153403,-0.048536,0.293016
0.749648,8.832732,0.749885,-0.328750,0.026431,0.204227
0.768024,8.563192,0.570948,-0.395593,0.068274,0.191554
0.622100,8.327941,0.575165,-0.569942,0.044240,0.116134
0.551546,8.168198,0.523828,-0.661583,-0.051723,0.071855
0.570014,8.004763,0.443179,-0.777522,0.014723,0.016514
0.494306,7.791605,0.496260,-0.860546,-0.032777,0.106934
0.491005,7.672878,0.330509,-0.983415,-0.044945,0.029725
0.445091,7.473656,0.451047,-1.081714,0.050758,-0.002430
0.662545,7.390731,0.592098,-1.112661,0.023672,-0.071785
0.431090,7.302027,0.503233,-1.204654,0.016334,-0.104603
0.440590,7.153386,0.659247,-1.227917,0.033470,-0.068436
0.178183,7.107258,0.906655,-1.248812,-0.024765,-0.154106
0.492341,7.354792,0.982361,-1.126063,0.036240,-0.162908
0.450336,7.210249,0.832108,-1.156260,-0.054247,-0.200601
0.470145,7.324015,1.285144,-1.141283,0.018089,-0.204624
0.290186,7.605403,1.126280,-1.086163,0.003133,-0.233616
0.430414,7.695640,1.150746,-1.043643,-0.017051,-0.243372
0.217415,7.566231,1.244483,-0.937061,0.007934,-0.324510
0.300823,7.817175,1.488951,-0.902191,0.015955,-0.242274
0.257146,7.839885,1.728850,-0.753163,-0.016467,-0.314917
0.133333,8.286561,1.777343,-0.691443,0.052358,-0.338077
0.271470,8.446624,1.615080,-0.550682,-0.006672,-0.387096
0.105795,8.714019,1.831742,-0.342253,-0.008090,-0.379031
0.080182,8.904515,1.902704,-0.237223,-0.029631,-0.395418
0.097711,9.137396,2.090858,-0.111112,-0.062163,-0.409609
-0.050671,9.573508,2.213340,0.015821,0.005199,-0.433415
-0.031463,9.661649,2.339906,0.167519,0.053494,-0.495665
0.060733,10.022336,2.427712,0.280832,0.026665,-0.441368
-0.048150,10.064028,2.325148,0.446259,0.110143,-0.446594
-0.163476,10.363309,2.347640,0.600671,-0.012283,-0.519829
-0.363913,10.521251,2.456811,0.662866,0.028478,-0.471160
-0.216755,10.779782,2.505379,0.802396,-0.008574,-0.508049
-0.285600,11.151744,2.482793,0.879217,0.028979,-0.463455
-0.204165,11.224528,2.346646,0.934263,0.030494,-0.525411
-0.313513,11.217889,2.450530,1.068131,-0.007679,-0.437350
-0.408576,11.490756,2.288535,1.093255,0.007144,-0.474618
-0.361072,11.593260,2.462420,1.120542,-0.002914,-0.506749
-0.466205,11.592469,2.327123,1.164772,-0.017589,-0.447123
-0.260998,11.467713,2.143658,1.175102,0.022656,-0.472866
-0.159773,11.583822,1.961746,1.140593,0.020767,-0.534187
-0.521486,11.299727,2.082171,1.202768,-0.020288,-0.467884
-0.403690,11.421597,1.910659,1.091045,0.004895,-0.420121
-0.412092,11.245424,1.719007,1.060183,-0.024287,-0.426441
-0.545344,11.225683,1.710439,1.046448,-0.097367,-0.349924
-0.665205,11.177230,1.610306,0.969251,0.027877,-0.420733
-0.498378,11.007106,1.529600,0.781858,0.026989,-0.420639
-0.710513,10.846268,1.359425,0.774162,-0.008752,-0.370198
-0.593204,10.693036,1.205609,0.607515,0.034576,-0.407651
-0.450128,10.507955,1.240894,0.605772,0.089518,-0.273980
-0.690020,9.907324,1.166105,0.437393,-0.003382,-0.270645
-0.585519,9.804254,1.074187,0.247702,-0.062141,-0.234119
-0.685485,9.582913,0.915308,0.158460,-0.001254,-0.319194
-0.711324,9.358113,0.886378,-0.049924,-0.072846,-0.207405
-0.577447,9.238196,0.815287,-0.230030,0.011473,-0.253143
-0.594344,8.628304,0.526655,-0.360134,0.009534,-0.206189
-0.513321,8.463027,0.551591,-0.402589,-0.050704,-0.195916
-0.548338,8.531947,0.486227,-0.658748,-0.087374,-0.065919
-0.637087,8.160711,0.551283,-0.599371,0.003709,-0.142554
-0.576769,8.068855,0.422105,-0.804850,0.034943,-0.101559
-0.536026,7.826172,0.461384,-0.882831,-0.000510,-0.074843
-0.448905,7.636496,0.593247,-1.000684,0.011733,-0.062095
-0.496488,7.523592,0.477470,-1.035557,-0.018863,0.011224
-0.560245,7.498987,0.643640,-1.057943,-0.006728,0.072049
-0.579043,7.312960,0.394590,-1.229532,-0.018815,0.065372
-0.512099,7.338144,0.683125,-1.109735,-0.078398,0.089206
-0.419326,6.917129,0.731015,-1.141096,-0.031401,0.113014
-0.372236,7.271896,0.950992,-1.182494,0.007380,0.212218
-0.400656,7.245187,0.814827,-1.157978,0.053111,0.162738
-0.372358,7.201272,0.864033,-1.169714,-0.009029,0.157724
-0.431503,7.572372,1.128676,-1.069439,-0.015435,0.203472
-0.270979,7.491348,1.088266,-1.002728,-0.045749,0.286636
-0.168341,7.472147,1.326592,-0.961806,0.046364,0.264709
-0.235508,7.882564,1.425777,-0.824588,0.007182,0.333824
-0.381156,7.970725,1.539922,-0.741111,-0.066536,0.367036
-0.241311,8.357727,1.608252,-0.634532,0.031581,0.375799
-0.099988,8.502157,1.937352,-0.538899,-0.036592,0.394725
-0.109041,8.803699,1.931142,-0.390138,0.037457,0.380451
-0.017606,8.821966,1.785502,-0.201976,0.016932,0.416849
0.011601,9.269104,2.190382,-0.119478,0.009297,0.469418
-0.043668,9.631287,2.181613,0.033130,0.021247,0.438498
0.085863,9.797227,2.474357,0.179619,0.068936,0.498168
0.046873,9.923543,2.216648,0.314774,0.008578,0.433949
0.268347,10.274341,2.463976,0.437408,0.012376,0.506402
0.458930,10.496974,2.328164,0.600989,-0.044370,0.520206
0.161317,10.585039,2.445513,0.686404,-0.039480,0.541695
0.173682,10.824676,2.359092,0.858046,0.010550,0.522044
0.405498,11.094208,2.475628,0.928911,0.055831,0.526590
0.353481,11.270003,2.511938,0.931599,0.080392,0.542177
0.376742,11.370334,2.524210,1.037441,-0.041185,0.520129
0.413030,11.480907,2.394963,1.105435,0.013200,0.528359
